,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,heart_disease_mortality_per_100k,health__pct_excessive_drinking
14,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.527,0.085,0.274,0.153,0.466,0.256,0.093,0.041,0.001,0.697,0.14,0.04,0.073194857,0.269040554,0.366963403,0.290801187,15,7,0.303,0.234,0.058,0.056,0.236,8,44.1,2439,1379,a,228,0.221
15,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.404,0.08,0.213,0.082,0.479,0.171,0.222,0.105,0.025,0.814,0.029,0.016,0.097,0.293,0.402,0.208,9,14,0.232,0.194,0.092,0.052,0.205,10,16.46,939,1080,a,241,0.265
16,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.559,0.027,0.153,0.062,0.497,0.228,0.199,0.023,0.008,0.954,0.014,0,0.076076076,0.362362362,0.344344344,0.217217217,11,14,0.311,0.173,0.089,0.056,0.306,12,110.45,8360,4150,a,261,0.194
17,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.522,0.053,0.114,0.044,0.496,0.218,0.199,0.016,0,0.956,0.014,0.007,0.094621514,0.435258964,0.298804781,0.171314741,10,14,0.273,0.199,0.105,0.078,0.232,11,17.77,2609,1620,a,287,0.256
18,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.464,0.053,0.145,0.043,0.516,0.228,0.169,0.082,0.188,0.703,0.003,0.009,0.126252505,0.341683367,0.336673347,0.195390782,11,11,0.38,0.192,0.114,0.104,0.266,12,11.42,1570,1170,a,269,0.208
19,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.457,0.054,0.279,0.126,0.514,0.216,0.215,0.031,0.002,0.93,0.009,0.011,0.089655172,0.333004926,0.332019704,0.245320197,9,11,0.202,0.194,0.062,0.06,0.194,11,20.24,2159,1440,b,199,0.183
20,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.454,0.056,0.219,0.056,0.51,0.267,0.114,0.028,0.062,0.882,0.008,0.014,0.125373134,0.340298507,0.342288557,0.192039801,14,8,0.302,0.206,0.107,0.082,0.291,12,24.24,3910,5770,b,313,0.158
21,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.601,0.04,0.116,0.053,0.508,0.222,0.207,0.021,0,0.953,0.003,0.002,0.079158317,0.362725451,0.343687375,0.214428858,11,13,0.337,0.181,0.091,0.073,0.287,8,21.68,7269,2450,b,243,0.12
22,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Mining-dependent,0.432,0.043,0.259,0.154,0.499,0.203,0.24,0.113,0,0.847,0.015,0.003,0.104790419,0.294411178,0.349301397,0.251497006,12,14,0.268,0.223,0.112,0.073,0.246,10,21.12,2400,1919,a,250,0.184
23,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.547,0.04,0.097,0.064,0.503,0.219,0.188,0.009,0.009,0.965,0,0.004,0.072580645,0.349798387,0.368951613,0.208669355,11,11,0.264,0.13,0.086,0.058,0.239,12,12.44,2080,1560,a,175,0.216
24,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.512,0.07,0.138,0.029,0.502,0.283,0.096,0.158,0.111,0.665,0.001,0.05,0.083503055,0.270875764,0.302443992,0.343177189,11,6,0.322,0.182,0.106,0.086,0.235,13,8.31,2079,1990,b,255,0.233
25,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Recreation,0.441,0.058,0.327,0.125,0.513,0.183,0.244,0.301,0.001,0.657,0.027,0.005,0.12202381,0.266865079,0.331349206,0.279761905,9,10,0.23,0.219,0.081,0.098,0.222,9,17.85,2910,1569,b,185,0.181
26,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Recreation,0.397,0.082,0.232,0.157,0.495,0.198,0.255,0.175,0.002,0.639,0.168,0.011,0.156345178,0.296446701,0.377664975,0.169543147,12,15,0.273,0.25,0.118,0.085,0.256,10,25.83,1759,1709,a,249,0.145
27,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.321,0.097,0.214,0.09,0.499,0.177,0.267,0.035,0,0.921,0.01,0.003,0.082259663,0.328047572,0.444995045,0.144697721,7,12,0.315,0.159,0.123,0.076,0.226,10,51.35,2019,5579,b,233,0.181
28,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.342,0.064,0.242,0.097,0.466,0.195,0.214,0.027,0.087,0.854,0.005,0.002,0.222664016,0.402584493,0.294234592,0.080516899,9,13,0.355,0.306,0.155,0.08,0.337,12,47.4,3979,5369,a,294,0.079
29,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Nonspecialized,0.296,0.151,0.273,0.084,0.498,0.227,0.131,0.006,0.852,0.143,0.006,0,0.241210938,0.359375,0.237304688,0.162109375,14,11,0.444,0.181,0.192,0.177,0.361,11,22.59,1279,3809,a,383,0.085
30,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Farm-dependent,0.413,0.049,0.318,0.095,0.505,0.271,0.13,0.396,0.02,0.548,0.02,0.009,0.192502533,0.255319149,0.324214792,0.227963526,16,6,0.274,0.231,0.072,0.083,0.286,9,18.57,3580,1569,b,280,0.132
31,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.521,0.051,0.149,0.057,0.504,0.2,0.229,0.019,0.016,0.952,0.01,0.008,0.081716037,0.390194076,0.324821246,0.203268641,8,12,0.301,0.23,0.108,0.078,0.251,11,29.53,3130,979,a,276,0.25
32,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.331,0.076,0.25,0.107,0.411,0.197,0.156,0.097,0.347,0.547,0.009,0,0.255744256,0.376623377,0.265734266,0.101898102,11,11,0.373,0.211,0.138,0.098,0.332,12,31.48,8850,7329,b,296,0.111
33,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.495,0.064,0.177,0.051,0.523,0.219,0.139,0.049,0.246,0.658,0.006,0.037,0.112449799,0.320281124,0.28313253,0.284136546,12,9,0.339,0.188,0.11,0.092,0.276,12,14.17,1289,1300,a,316,0.139
34,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.436,0.065,0.213,0.086,0.482,0.214,0.15,0.027,0.023,0.887,0.011,0.03,0.132734531,0.337325349,0.263473054,0.266467066,11,10,0.329,0.258,0.099,0.075,0.254,10,20.12,2659,999,b,319,0.153
35,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.506,0.037,0.101,0.044,0.486,0.244,0.145,0.03,0.003,0.946,0.004,0,0.077154309,0.359719439,0.326653307,0.236472946,11,8,0.289,0.284,0.09,0.081,0.273,9,18.88,2479,1640,a,272,0.225
36,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.592,0.027,0.132,0.064,0.511,0.241,0.181,0.045,0.007,0.937,0,0,0.074626866,0.331343284,0.354228856,0.239800995,14,9,0.301,0.167,0.083,0.059,0.257,12,110.45,3279,3290,b,228,0.17
37,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.561,0.066,0.223,0.156,0.486,0.27,0.132,0.238,0.004,0.692,0.056,0.003,0.191808192,0.36963037,0.360639361,0.077922078,15,5,0.299,0.174,0.073,0.075,0.212,13,36.99,6030,5940,a,284,0.162
38,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.526,0.045,0.094,0.039,0.511,0.182,0.184,0.015,0,0.96,0,0.005,0.093,0.343,0.274,0.29,9,11,0.288,0.182,0.097,0.058,0.212,11,11.3,1400,1259,a,253,0.167
39,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.506,0.056,0.151,0.041,0.5,0.235,0.169,0.091,0.009,0.881,0.012,0,0.110775428,0.333333333,0.348439074,0.207452165,10,10,0.291,0.163,0.112,0.063,0.254,12,20.33,2909,1699,a,229,0.209
40,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.396,0.079,0.141,0.065,0.494,0.203,0.148,0.031,0.02,0.912,0.018,0.021,0.110772358,0.362804878,0.298780488,0.227642276,10,9,0.294,0.26,0.112,0.072,0.254,11,11.5,2660,1829,a,281,0.224
41,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.68,0.02,0.2,0.106,0.493,0.219,0.229,0.067,0,0.92,0.006,0,0.064935065,0.324675325,0.412587413,0.197802198,7,19,0.292,0.122,0.096,0.076,0.331,13,42.71,1019,980,b,244,0.14
42,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.389,0.058,0.164,0.059,0.451,0.217,0.108,0.069,0.308,0.564,0.009,0.02,0.117,0.339,0.328,0.216,11,6,0.361,0.251,0.123,0.079,0.257,12,14.05,5319,6150,a,223,0.176
43,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.474,0.054,0.188,0.078,0.505,0.265,0.112,0.051,0.146,0.734,0,0.053,0.079079079,0.241241241,0.326326326,0.353353353,13,6,0.264,0.161,0.097,0.089,0.232,13,11.16,1830,839,b,214,0.156
44,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.451,0.055,0.234,0.049,0.512,0.25,0.145,0.024,0.006,0.943,0.003,0.01,0.15862069,0.431527094,0.257142857,0.15270936,13,10,0.346,0.177,0.136,0.07,0.343,13,24.63,3590,1869,a,375,0.106
45,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Manufacturing-dependent,0.567,0.053,0.125,0.045,0.496,0.228,0.166,0.019,0.006,0.957,0.006,0.001,0.083083083,0.392392392,0.336336336,0.188188188,10,11,0.319,0.19,0.091,0.055,0.2,12,20.99,2200,1040,b,236,0.258
46,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.499,0.061,0.163,0.121,0.472,0.281,0.116,0.481,0.015,0.478,0.033,0.01,0.143283582,0.370149254,0.371144279,0.115422886,15,5,0.336,0.202,0.098,0.074,0.249,10,23.64,4410,2859,b,232,0.189
47,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.558,0.05,0.077,0.032,0.507,0.226,0.148,0.024,0.011,0.949,0.001,0.006,0.062753036,0.305668016,0.339068826,0.292510121,11,8,0.272,0.136,0.093,0.057,0.224,12,10.1,2049,1650,b,212,0.285
48,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.498,0.065,0.222,0.059,0.516,0.223,0.141,0.057,0.275,0.614,0.004,0.023,0.165829146,0.293467337,0.305527638,0.235175879,14,12,0.354,0.263,0.112,0.108,0.246,13,9.9,1840,1379,b,340,0.132
49,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.408,0.049,0.243,0.043,0.51,0.224,0.196,0.03,0.097,0.849,0.007,0,0.205588822,0.373253493,0.289421158,0.131736527,12,13,0.348,0.327,0.136,0.094,0.319,13,25.82,13360,4480,a,330,0.131
50,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.467,0.051,0.248,0.09,0.511,0.223,0.13,0.049,0.402,0.506,0.004,0.021,0.109768379,0.253776435,0.30715005,0.329305136,14,9,0.28,0.187,0.103,0.096,0.239,13,12.5,1600,1199,a,279,0.162
51,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.509,0.085,0.283,0.155,0.46,0.246,0.09,0.036,0.003,0.721,0.136,0.048,0.083166333,0.265531062,0.365731463,0.285571142,12,6,0.276,0.242,0.062,0.042,0.239,8,17.68,2470,1950,b,229,0.215
52,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Recreation,0.521,0.057,0.221,0.091,0.501,0.23,0.163,0.328,0.019,0.553,0.013,0.075,0.168032787,0.18852459,0.318647541,0.324795082,11,8,0.23,0.089,0.067,0.058,0.138,8,10.82,1349,1160,b,227,0.237
53,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.559,0.039,0.215,0.106,0.514,0.23,0.231,0.019,0.004,0.879,0.094,0.006,0.085968379,0.373517787,0.348814229,0.191699605,12,16,0.283,0.128,0.091,0.053,0.33,12,37.87,1459,2140,b,306,0.2
54,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.527,0.033,0.285,0.102,0.488,0.309,0.102,0.516,0.023,0.428,0.018,0.014,0.300395257,0.23715415,0.280632411,0.181818182,19,6,0.333,0.171,0.098,0.075,0.303,12,20.49,2320,2040,a,263,0.141
55,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.468,0.045,0.242,0.128,0.467,0.247,0.075,0.08,0.053,0.706,0.067,0.029,0.063241107,0.233201581,0.390316206,0.313241107,17,5,0.291,0.198,0.067,0.067,0.198,8,9.73,890,1429,a,218,0.198
56,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Manufacturing-dependent,0.483,0.066,0.188,0.074,0.519,0.2,0.207,0.014,0.006,0.968,0.009,0.009,0.14796425,0.405163853,0.291956306,0.154915591,11,13,0.343,0.244,0.099,0.079,0.278,14,24.18,4540,2599,b,324,0.142
57,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Nonspecialized,0.517,0.06,0.163,0.08,0.501,0.225,0.173,0.021,0.01,0.954,0.006,0.008,0.106962664,0.437941473,0.302724521,0.152371342,10,7,0.306,0.187,0.102,0.086,0.28,14,19.49,2650,4189,b,257,0.199
58,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.367,0.099,0.238,0.075,0.504,0.226,0.179,0.029,0.011,0.942,0.01,0.006,0.254305978,0.367781155,0.252279635,0.125633232,11,13,0.319,0.307,0.136,0.085,0.385,13,25.59,2940,1600,b,330,0.07
59,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.578,0.032,0.123,0.036,0.497,0.235,0.172,0.018,0.002,0.95,0.006,0.008,0.062252964,0.355731225,0.351778656,0.230237154,10,11,0.321,0.229,0.095,0.056,0.283,11,21.62,2069,2180,b,283,0.222
60,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.568,0.044,0.099,0.027,0.499,0.183,0.158,0.018,0.011,0.943,0,0.014,0.083080041,0.318135765,0.245187437,0.353596758,9,8,0.225,0.145,0.081,0.051,0.175,11,11.81,2289,869,a,207,0.192
61,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.593,0.037,0.159,0.061,0.508,0.229,0.207,0.015,0.003,0.957,0,0,0.061183551,0.450351053,0.320962889,0.167502508,13,13,0.338,0.184,0.108,0.071,0.288,9,21.03,1690,1659,b,247,0.213
62,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.466,0.05,0.277,0.13,0.506,0.273,0.145,0.35,0.005,0.627,0.016,0,0.181,0.286,0.406,0.127,12,8,0.253,0.195,0.078,0.086,0.252,14,24.24,2119,2500,b,229,0.106
63,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.492,0.06,0.179,0.043,0.512,0.225,0.159,0.02,0.102,0.821,0.002,0.033,0.105210421,0.305611222,0.358717435,0.230460922,11,10,0.316,0.182,0.105,0.077,0.226,13,7.78,1269,1689,a,305,0.198
64,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.474,0.049,0.185,0.053,0.499,0.184,0.192,0.013,0.051,0.909,0.008,0.009,0.156407669,0.352169526,0.315842583,0.175580222,9,12,0.316,0.315,0.11,0.093,0.271,13,13.74,3830,1649,a,327,0.147
65,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Recreation,0.473,0.044,0.193,0.095,0.498,0.153,0.281,0.026,0.183,0.782,0.005,0,0.120638086,0.327018943,0.313060818,0.239282154,9,12,0.262,0.334,0.129,0.096,0.232,12,20.11,2149,2699,a,245,0.277
66,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.514,0.038,0.153,0.059,0.502,0.236,0.136,0.074,0.08,0.806,0.008,0.013,0.091816367,0.286427146,0.295409182,0.326347305,11,8,0.252,0.174,0.102,0.057,0.197,13,16.36,1860,1840,a,224,0.16
67,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.39,0.071,0.258,0.064,0.519,0.18,0.296,0.023,0.012,0.958,0.011,0.006,0.129258517,0.351703407,0.339679359,0.179358717,8,16,0.278,0.244,0.106,0.077,0.312,11,26.25,2190,1089,b,271,0.144
68,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.509,0.067,0.137,0.046,0.514,0.208,0.187,0.013,0.054,0.904,0,0.005,0.078,0.396,0.299,0.227,10,12,0.304,0.187,0.123,0.076,0.29,14,12.16,2089,2430,b,267,0.143
69,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.509,0.045,0.142,0.045,0.512,0.218,0.16,0.012,0.043,0.912,0.005,0.005,0.118762475,0.366267465,0.31237525,0.20259481,12,10,0.309,0.174,0.109,0.063,0.237,10,10,1950,1369,a,228,0.169
70,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.511,0.05,0.156,0.038,0.514,0.203,0.155,0.163,0.05,0.611,0,0.147,0.08249497,0.241448692,0.206237425,0.469818913,10,7,0.211,0.146,0.068,0.079,0.239,11,5.25,829,809,b,210,0.166
71,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Recreation,0.422,0.113,0.191,0.065,0.487,0.194,0.205,0.016,0,0.95,0.019,0,0.144590495,0.432760364,0.306370071,0.11627907,8,14,0.343,0.314,0.115,0.088,0.251,12,15.28,2610,2230,b,321,0.129
72,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.34,0.083,0.31,0.079,0.495,0.252,0.144,0.375,0.009,0.213,0.412,0.007,0.186440678,0.365902293,0.326021934,0.121635095,12,10,0.327,0.188,0.139,0.103,0.256,10,25.72,2270,1699,a,224,0.127
73,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.512,0.039,0.092,0.037,0.508,0.212,0.143,0.064,0.018,0.861,0,0.029,0.061023622,0.229330709,0.224409449,0.48523622,7,7,0.206,0.12,0.058,0.075,0.191,12,4.68,1249,849,a,191,0.176
