,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,health__pct_excessive_drinking,heart_disease_mortality_per_100k
27,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.417,0.082,0.219,0.055,0.511,0.247,0.168,0.017,0.01,0.941,0.01,0.006,0.206793207,0.423576424,0.248751249,0.120879121,14,13,0.309,0.279,0.116,0.085,0.33,14,26.79,3859,2330,b,0.211,323.0983887
28,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.423,0.064,0.269,0.06,0.518,0.227,0.197,0.011,0.012,0.97,0,0.009,0.172277228,0.42970297,0.271287129,0.126732673,12,15,0.376,0.166,0.118,0.088,0.328,13,38.48,4409,2859,b,0.198,344.6284485
29,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.457,0.054,0.279,0.126,0.514,0.216,0.215,0.031,0.002,0.93,0.009,0.011,0.089655172,0.333004926,0.332019704,0.245320197,9,11,0.202,0.194,0.062,0.06,0.194,11,20.24,2159,1440,b,0.205,201.6833649
30,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.454,0.056,0.219,0.056,0.51,0.267,0.114,0.028,0.062,0.882,0.008,0.014,0.125373134,0.340298507,0.342288557,0.192039801,14,8,0.302,0.206,0.107,0.082,0.291,12,24.24,3910,5770,b,0.221,304.8187561
31,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.601,0.04,0.116,0.053,0.508,0.222,0.207,0.021,0,0.953,0.003,0.002,0.079158317,0.362725451,0.343687375,0.214428858,11,13,0.337,0.181,0.091,0.073,0.287,8,21.68,7269,2450,b,0.192,245.9553833
32,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Mining-dependent,0.432,0.043,0.259,0.154,0.499,0.203,0.24,0.113,0,0.847,0.015,0.003,0.104790419,0.294411178,0.349301397,0.251497006,12,14,0.268,0.223,0.112,0.073,0.246,10,21.12,2400,1919,a,0.196,260.9433594
34,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.411,0.067,0.204,0.057,0.501,0.193,0.183,0.023,0.3,0.655,0.005,0.001,0.269346734,0.380904523,0.269346734,0.08040201,9,10,0.364,0.306,0.156,0.113,0.323,13,24.31,8190,5579,a,0.201,304.6618652
35,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.547,0.04,0.097,0.064,0.503,0.219,0.188,0.009,0.009,0.965,0,0.004,0.072580645,0.349798387,0.368951613,0.208669355,11,11,0.264,0.13,0.086,0.058,0.239,12,12.44,2080,1560,a,0.176,193.4365387
37,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.318,0.057,0.252,0.173,0.487,0.272,0.254,0.086,0,0.895,0.007,0,0.168326693,0.395418327,0.253984064,0.182270916,7,11,0.252,0.425,0.095,0.067,0.228,11,44.1,3250,5579,a,0.275,249.0205688
38,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Recreation,0.441,0.058,0.327,0.125,0.513,0.183,0.244,0.301,0.001,0.657,0.027,0.005,0.12202381,0.266865079,0.331349206,0.279761905,9,10,0.23,0.219,0.081,0.098,0.222,9,17.85,2910,1569,b,0.123,191.9081573
39,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Recreation,0.397,0.082,0.232,0.157,0.495,0.198,0.255,0.175,0.002,0.639,0.168,0.011,0.156345178,0.296446701,0.377664975,0.169543147,12,15,0.273,0.25,0.118,0.085,0.256,10,25.83,1759,1709,a,0.202,255.3392944
41,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.368,0.107,0.298,0.099,0.498,0.22,0.171,0.003,0.597,0.356,0.027,0,0.241310824,0.314796425,0.337636544,0.106256207,10,10,0.364,0.268,0.157,0.15,0.317,13,16.47,5139,3650,a,0.082,317.4715576
42,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.567,0.043,0.213,0.121,0.515,0.226,0.202,0.076,0.003,0.878,0.02,0.002,0.114,0.381,0.287,0.218,13,13,0.323,0.203,0.122,0.053,0.342,10,42.71,1390,819,a,0.111,320.4079895
43,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.342,0.064,0.242,0.097,0.466,0.195,0.214,0.027,0.087,0.854,0.005,0.002,0.222664016,0.402584493,0.294234592,0.080516899,9,13,0.355,0.306,0.155,0.08,0.337,12,47.4,3979,5369,a,0.155,299.8109131
44,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Nonspecialized,0.296,0.151,0.273,0.084,0.498,0.227,0.131,0.006,0.852,0.143,0.006,0,0.241210938,0.359375,0.237304688,0.162109375,14,11,0.444,0.181,0.192,0.177,0.361,11,22.59,1279,3809,a,0.107,387.726532
45,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.351,0.092,0.19,0.084,0.493,0.209,0.168,0.009,0.005,0.981,0,0.005,0.253716551,0.354806739,0.282457879,0.109018831,9,13,0.289,0.319,0.126,0.085,0.297,13,18.65,16109,3140,b,0.167,316.8766174
47,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Manufacturing-dependent,0.419,0.059,0.25,0.051,0.512,0.241,0.187,0.021,0.308,0.638,0.002,0.008,0.167004049,0.431174089,0.261133603,0.140688259,10,14,0.35,0.346,0.151,0.091,0.339,11,32.42,9080,3000,b,0.139,374.5712585
48,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.521,0.051,0.149,0.057,0.504,0.2,0.229,0.019,0.016,0.952,0.01,0.008,0.081716037,0.390194076,0.324821246,0.203268641,8,12,0.301,0.23,0.108,0.078,0.251,11,29.53,3130,979,a,0.157,257.4636536
53,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.506,0.037,0.101,0.044,0.486,0.244,0.145,0.03,0.003,0.946,0.004,0,0.077154309,0.359719439,0.326653307,0.236472946,11,8,0.289,0.284,0.09,0.081,0.273,9,18.88,2479,1640,a,0.114,259.9574585
54,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.326,0.112,0.187,0.065,0.478,0.183,0.186,0.006,0.037,0.949,0.009,0,0.299599198,0.349699399,0.251503006,0.099198397,8,14,0.289,0.295,0.12,0.1,0.278,13,36.69,5890,2980,a,0.1,342.5569153
55,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.592,0.027,0.132,0.064,0.511,0.241,0.181,0.045,0.007,0.937,0,0,0.074626866,0.331343284,0.354228856,0.239800995,14,9,0.301,0.167,0.083,0.059,0.257,12,110.45,3279,3290,b,0.171,228.3160858
56,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.561,0.066,0.223,0.156,0.486,0.27,0.132,0.238,0.004,0.692,0.056,0.003,0.191808192,0.36963037,0.360639361,0.077922078,15,5,0.299,0.174,0.073,0.075,0.212,13,36.99,6030,5940,a,0.252,276.3321228
58,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.506,0.056,0.151,0.041,0.5,0.235,0.169,0.091,0.009,0.881,0.012,0,0.110775428,0.333333333,0.348439074,0.207452165,10,10,0.291,0.163,0.112,0.063,0.254,12,20.33,2909,1699,a,0.152,252.6164246
59,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.381,0.077,0.221,0.089,0.525,0.202,0.247,0.019,0.243,0.717,0.004,0.003,0.170854271,0.350753769,0.324623116,0.153768844,8,12,0.327,0.209,0.156,0.091,0.257,12,14.06,13600,4520,a,0.164,286.6302795
60,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.452,0.055,0.257,0.115,0.496,0.239,0.178,0.021,0.013,0.78,0.127,0.003,0.12474645,0.427991886,0.283975659,0.163286004,12,11,0.354,0.247,0.145,0.066,0.352,10,41.37,1269,3289,a,0.203,348.9006042
61,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.396,0.079,0.141,0.065,0.494,0.203,0.148,0.031,0.02,0.912,0.018,0.021,0.110772358,0.362804878,0.298780488,0.227642276,10,9,0.294,0.26,0.112,0.072,0.254,11,11.5,2660,1829,a,0.249,277.0398865
62,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.68,0.02,0.2,0.106,0.493,0.219,0.229,0.067,0,0.92,0.006,0,0.064935065,0.324675325,0.412587413,0.197802198,7,19,0.292,0.122,0.096,0.076,0.331,13,42.71,1019,980,b,0.224,249.0677643
65,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.451,0.055,0.234,0.049,0.512,0.25,0.145,0.024,0.006,0.943,0.003,0.01,0.15862069,0.431527094,0.257142857,0.15270936,13,10,0.346,0.177,0.136,0.07,0.343,13,24.63,3590,1869,a,0.148,356.3822021
67,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.499,0.061,0.163,0.121,0.472,0.281,0.116,0.481,0.015,0.478,0.033,0.01,0.143283582,0.370149254,0.371144279,0.115422886,15,5,0.336,0.202,0.098,0.074,0.249,10,23.64,4410,2859,b,0.177,240.9898071
68,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.558,0.05,0.077,0.032,0.507,0.226,0.148,0.024,0.011,0.949,0.001,0.006,0.062753036,0.305668016,0.339068826,0.292510121,11,8,0.272,0.136,0.093,0.057,0.224,12,10.1,2049,1650,b,0.083,211.5489655
69,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.498,0.065,0.222,0.059,0.516,0.223,0.141,0.057,0.275,0.614,0.004,0.023,0.165829146,0.293467337,0.305527638,0.235175879,14,12,0.354,0.263,0.112,0.108,0.246,13,9.9,1840,1379,b,0.161,327.141571
70,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.408,0.049,0.243,0.043,0.51,0.224,0.196,0.03,0.097,0.849,0.007,0,0.205588822,0.373253493,0.289421158,0.131736527,12,13,0.348,0.327,0.136,0.094,0.319,13,25.82,13360,4480,a,0.103,328.0164185
71,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.467,0.051,0.248,0.09,0.511,0.223,0.13,0.049,0.402,0.506,0.004,0.021,0.109768379,0.253776435,0.30715005,0.329305136,14,9,0.28,0.187,0.103,0.096,0.239,13,12.5,1600,1199,a,0.171,270.9467468
72,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.509,0.085,0.283,0.155,0.46,0.246,0.09,0.036,0.003,0.721,0.136,0.048,0.083166333,0.265531062,0.365731463,0.285571142,12,6,0.276,0.242,0.062,0.042,0.239,8,17.68,2470,1950,b,0.148,224.9370422
73,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Recreation,0.521,0.057,0.221,0.091,0.501,0.23,0.163,0.328,0.019,0.553,0.013,0.075,0.168032787,0.18852459,0.318647541,0.324795082,11,8,0.23,0.089,0.067,0.058,0.138,8,10.82,1349,1160,b,0.179,218.7519073
74,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.559,0.039,0.215,0.106,0.514,0.23,0.231,0.019,0.004,0.879,0.094,0.006,0.085968379,0.373517787,0.348814229,0.191699605,12,16,0.283,0.128,0.091,0.053,0.33,12,37.87,1459,2140,b,0.266,297.0604248
75,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.527,0.033,0.285,0.102,0.488,0.309,0.102,0.516,0.023,0.428,0.018,0.014,0.300395257,0.23715415,0.280632411,0.181818182,19,6,0.333,0.171,0.098,0.075,0.303,12,20.49,2320,2040,a,0.091,249.5310669
76,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.468,0.045,0.242,0.128,0.467,0.247,0.075,0.08,0.053,0.706,0.067,0.029,0.063241107,0.233201581,0.390316206,0.313241107,17,5,0.291,0.198,0.067,0.067,0.198,8,9.73,890,1429,a,0.106,231.4718933
77,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.574,0.059,0.126,0.09,0.503,0.212,0.227,0.036,0.004,0.955,0,0.009,0.114314115,0.363817097,0.344930417,0.17693837,10,12,0.323,0.376,0.088,0.061,0.228,13,28.11,2910,8630,b,0.216,207.8839874
78,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Manufacturing-dependent,0.483,0.066,0.188,0.074,0.519,0.2,0.207,0.014,0.006,0.968,0.009,0.009,0.14796425,0.405163853,0.291956306,0.154915591,11,13,0.343,0.244,0.099,0.079,0.278,14,24.18,4540,2599,b,0.116,315.7749023
80,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.367,0.099,0.238,0.075,0.504,0.226,0.179,0.029,0.011,0.942,0.01,0.006,0.254305978,0.367781155,0.252279635,0.125633232,11,13,0.319,0.307,0.136,0.085,0.385,13,25.59,2940,1600,b,0.201,345.2666626
81,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.578,0.032,0.123,0.036,0.497,0.235,0.172,0.018,0.002,0.95,0.006,0.008,0.062252964,0.355731225,0.351778656,0.230237154,10,11,0.321,0.229,0.095,0.056,0.283,11,21.62,2069,2180,b,0.077,271.0278625
82,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.568,0.044,0.099,0.027,0.499,0.183,0.158,0.018,0.011,0.943,0,0.014,0.083080041,0.318135765,0.245187437,0.353596758,9,8,0.225,0.145,0.081,0.051,0.175,11,11.81,2289,869,a,0.159,208.3761292
84,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.445,0.029,0.13,0.102,0.499,0.352,0.112,0.029,0,0.944,0.001,0,0.015075377,0.250251256,0.393969849,0.340703518,16,4,0.226,0.408,0.078,0.058,0.204,12,51.35,3389,1629,a,0.201,204.6650085
85,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.363,0.057,0.373,0.19,0.423,0.217,0.144,0.205,0.192,0.583,0.014,0,0.241691843,0.357502518,0.297079557,0.103726083,12,10,0.316,0.376,0.092,0.084,0.28,9,32.12,4049,6869,b,0.078,335.6835938
87,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.362,0.046,0.329,0.138,0.466,0.253,0.176,0.419,0.071,0.502,0.013,0.003,0.210631896,0.358074223,0.269809428,0.161484453,13,11,0.287,0.408,0.102,0.122,0.3,10,20.9,3879,3940,a,0.251,276.4563904
91,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.65,0.039,0.19,0.106,0.504,0.198,0.236,0.022,0.009,0.965,0.001,0,0.047,0.412,0.35,0.191,14,15,0.294,0.48,0.114,0.067,0.312,12,44.1,4230,5579,a,0.277,210.1813354
93,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.595,0.047,0.103,0.08,0.505,0.211,0.232,0.033,0.01,0.949,0,0.005,0.105156724,0.367037412,0.350859454,0.176946411,9,10,0.322,0.416,0.094,0.061,0.222,13,26.17,2840,8570,a,0.133,211.3077393
94,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Recreation,0.473,0.044,0.193,0.095,0.498,0.153,0.281,0.026,0.183,0.782,0.005,0,0.120638086,0.327018943,0.313060818,0.239282154,9,12,0.262,0.334,0.129,0.096,0.232,12,20.11,2149,2699,a,0.126,223.1101227
95,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.514,0.038,0.153,0.059,0.502,0.236,0.136,0.074,0.08,0.806,0.008,0.013,0.091816367,0.286427146,0.295409182,0.326347305,11,8,0.252,0.174,0.102,0.057,0.197,13,16.36,1860,1840,a,0.193,228.3660736
97,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.39,0.071,0.258,0.064,0.519,0.18,0.296,0.023,0.012,0.958,0.011,0.006,0.129258517,0.351703407,0.339679359,0.179358717,8,16,0.278,0.244,0.106,0.077,0.312,11,26.25,2190,1089,b,0.137,273.1848145
98,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.509,0.067,0.137,0.046,0.514,0.208,0.187,0.013,0.054,0.904,0,0.005,0.078,0.396,0.299,0.227,10,12,0.304,0.187,0.123,0.076,0.29,14,12.16,2089,2430,b,0.114,284.0468445
